"Pass Yards Leaders","Jalen Hurts ","PHI","3567"
"Pass Yards Leaders","Aaron Rodgers ","PIT","3484"
"Pass Yards Leaders","Geno Smith ","NYJ","3463"
"Pass Yards Leaders","Bryce Young ","CAR","3457"
"Pass Yards Leaders","Malik Willis ","MIA","3374"
"Pass Yards Leaders","Fernando Mendoza ","LV","2882"
"Pass Yards Leaders","Tua Tagovailoa ","ATL","2351"
"Pass Yards Leaders","Deshaun Watson ","CLE","1994"
"Pass Yards Leaders","Shedeur Sanders ","CLE","1632"
"Pass Yards Leaders","Michael Penix Jr. ","ATL","1565"
"Pass Yards Leaders","Kirk Cousins ","LV","782"
"Pass Yards Leaders","Carson Beck ","ARI","450"
"Pass Yards Leaders","Marcus Mariota ","WAS","254"
"Pass Yards Leaders","Ty Simpson ","LAR","243"
"Pass Yards Leaders","J.J. McCarthy ","MIN","196"
"Pass Yards Leaders","Jameis Winston ","NYG","194"
"Pass Yards Leaders","Riley Leonard ","IND","193"
"Pass Yards Leaders","Davis Mills ","HOU","176"
"Pass Yards Leaders","Justin Fields ","KC","175"
"Pass Yards Leaders","Tyson Bagent ","CHI","170"
"Pass Yards Leaders","Joe Flacco ","CIN","169"
"Pass Yards Leaders","Drew Allar ","PIT","160"
"Pass Yards Leaders","Mac Jones ","SF","160"
"Pass Yards Leaders","Kenny Pickett ","CAR","158"
"Pass Yards Leaders","Quinn Ewers ","JAC","158"
"Pass Yards Leaders","Spencer Rattler ","NO","157"
"Pass Yards Leaders","Joshua Dobbs ","DET","157"
"Pass Yards Leaders","Tommy DeVito ","NE","154"
"Pass Yards Leaders","Jarrett Stidham ","DEN","153"
"Pass Yards Leaders","Gardner Minshew II ","ARI","148"
"Pass Yards Leaders","Trey Lance ","LAC","148"
"Pass Yards Leaders","Drew Lock ","SEA","147"
"Pass Yards Leaders","Sam Howell ","DAL","144"
"Pass Yards Leaders","Tyrod Taylor ","GB","144"
"Pass Yards Leaders","Tanner McKee ","PHI","141"
"Pass Yards Leaders","Andy Dalton ","PHI","140"
""
"","Player","Team","Pass TDs"
"Pass TDs Leaders","Matthew Stafford ","LAR","34"
"Pass TDs Leaders","Joe Burrow ","CIN","33"
"Pass TDs Leaders","Jared Goff ","DET","32"
"Pass TDs Leaders","Dak Prescott ","DAL","31"
"Pass TDs Leaders","Drake Maye ","NE","28"
"Pass TDs Leaders","Lamar Jackson ","BAL","28"
"Pass TDs Leaders","Sam Darnold ","SEA","27"
"Pass TDs Leaders","Jordan Love ","GB","27"
"Pass TDs Leaders","Bo Nix ","DEN","27"
"Pass TDs Leaders","Caleb Williams ","CHI","27"
"Pass TDs Leaders","Patrick Mahomes II ","KC","27"
"Pass TDs Leaders","Brock Purdy ","SF","27"
"Pass TDs Leaders","Trevor Lawrence ","JAC","27"
"Pass TDs Leaders","Josh Allen ","BUF","27"
"Pass TDs Leaders","Baker Mayfield ","TB","26"
"Pass TDs Leaders","Justin Herbert ","LAC","26"
