Salary Cap Values
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Garrett Wilson (WR - NYJ),13,$26,,,,Michael Penix Jr. - ATL,11,$0,,,,MarShawn Lloyd - GB,11,$11,,,,Michael Pittman Jr. - PIT,9,$8,,,,Colby Parkinson - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers (WR - BAL),13,$26,,,,,,,,,,Aaron Jones Sr. - MIN,6,$11,,,,Parker Washington - JAC,7,$7,,,,Michael Mayer - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers (WR - NYG),8,$25,,,,,,,,,,RJ Harvey - DEN,10,$11,,,,Brian Thomas Jr. - JAC,7,$6,,,,Oronde Gadsden II - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift (RB - CHI),10,$24,,,,,,,,,,Rachaad White - WAS,7,$11,,,,Carnell Tate - TEN,9,$6,,,,Dawson Knox - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving (RB - TB),10,$23,,,,,,,,,,Kyle Monangai - CHI,10,$10,,,,Wan'Dale Robinson - TEN,9,$6,,,,Theo Johnson - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith (WR - PHI),10,$23,,,,,,,,,,Jacory Croskey-Merritt - WAS,7,$9,,,,Michael Wilson - ARI,14,$5,,,,Darnell Washington - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan (WR - CAR),5,$23,,,,,,,,,,Jordan Mason - MIN,6,$9,,,,Jayden Reed - GB,11,$5,,,,Erick All Jr. - CIN,6,$0,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins (RB - CLE),11,$22,,,,,,,,,,Blake Corum - LAR,11,$8,,,,Jakobi Meyers - JAC,7,$5,,,,Tyler Higbee - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten (RB - JAC),7,$21,,,,,,,,,,Tyjae Spears - TEN,9,$7,,,,Chris Godwin Jr. - TB,10,$5,,,,Noah Fant - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka (WR - TB),10,$20,,,,,,,,,,Josh Jacobs - GB,11,$7,,,,Quentin Johnston - LAC,7,$4,,,,Cole Kmet - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,
David Montgomery (RB - HOU),8,$18,,,,,,,,,,Woody Marks - HOU,8,$5,,,,Stefon Diggs - WAS,7,$3,,,,Will Kacmarek - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren (RB - PIT),9,$18,,,,,,,,,,Zach Charbonnet - SEA,11,$5,,,,Jordan Addison - MIN,6,$3,,,,Charlie Kolar - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,
Davante Adams (WR - LAR),11,$18,,,,,,,,,,Justice Hill - BAL,13,$4,,,,De'Zhaun Stribling - SF,8,$3,,,,Jonnu Smith - GB,11,$0,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins (WR - CIN),6,$18,,,,,,,,,,Dylan Sampson - CLE,11,$4,,,,KC Concepcion - CLE,11,$3,,,,Brock Wright - DET,6,$0,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland (TE - CHI),10,$18,,,,,,,,,,Alvin Kamara - NO,8,$4,,,,Matthew Golden - GB,11,$3,,,,Adam Trautman - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson (RB - NE),11,$17,,,,,,,,,,AJ Dillon - CAR,5,$4,,,,Xavier Worthy - KC,5,$3,,,,Eli Raridon - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey (WR - LAC),7,$17,,,,,,,,,,Mike Washington Jr. - LV,13,$4,,,,Khalil Shakir - BUF,7,$3,,,,Josh Oliver - MIN,6,$0,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams (WR - DET),6,$17,,,,,,,,,,Braelon Allen - NYJ,13,$3,,,,Josh Downs - IND,13,$3,,,,Daniel Bellinger - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson (RB - NE),11,$16,,,,,,,,,,Samaje Perine - CIN,6,$3,,,,Deebo Samuel Sr. - SF,8,$3,,,,Austin Hooper - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard (RB - TEN),9,$16,,,,,,,,,,Chris Rodriguez Jr. - JAC,7,$3,,,,Romeo Doubs - NE,11,$3,,,,Tommy Tremble - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,
Jadarian Price (RB - SEA),11,$16,,,,,,,,,,Ty Johnson - BUF,7,$3,,,,Jalen Coker - CAR,5,$2,,,,Noah Gray - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson (QB - BAL),13,$15,,,,,,,,,,Tyler Allgeier - ARI,14,$3,,,,Rashid Shaheed - SEA,11,$2,,,,Eli Stowers - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr. (TE - CLE),11,$15,,,,,,,,,,Kaelon Black - SF,8,$2,,,,Jerry Jeudy - CLE,11,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren (TE - IND),13,$15,,,,,,,,,,Brian Robinson Jr. - ATL,11,$2,,,,Denzel Boston - CLE,11,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye (QB - NE),11,$14,,,,,,,,,,Keaton Mitchell - LAC,7,$2,,,,Makai Lemon - PHI,10,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle (RB - PIT),9,$14,,,,,,,,,,Isiah Pacheco - DET,6,$2,,,,Calvin Ridley - TEN,9,$1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle (WR - DEN),10,$14,,,,,,,,,,Tank Bigsby - PHI,10,$2,,,,Tre Tucker - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin (WR - WAS),7,$14,,,,,,,,,,Chris Brooks - GB,11,$2,,,,Keenan Allen - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore (WR - BUF),7,$14,,,,,,,,,,Jordan James - SF,8,$1,,,,Kayshon Boutte - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard (RB - CAR),5,$13,,,,,,,,,,Malik Davis - DAL,14,$1,,,,Jauan Jennings - MIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins (RB - DEN),10,$13,,,,,,,,,,Najee Harris - NYG,8,$1,,,,Rashod Bateman - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Gainwell (RB - TB),10,$13,,,,,,,,,,Tyrone Tracy Jr. - NYG,8,$1,,,,Jalen McMillan - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden III (WR - CHI),10,$13,,,,,,,,,,Brashard Smith - KC,5,$0,,,,Ja'Kobi Lane - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze (WR - CHI),10,$13,,,,,,,,,,Kimani Vidal - LAC,7,$0,,,,Jalen Nailor - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow (QB - CIN),6,$12,,,,,,,,,,Kyle Juszczyk - SF,8,$0,,,,Devaughn Vele - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts (QB - PHI),10,$12,,,,,,,,,,Jaylen Wright - MIA,6,$0,,,,Cooper Kupp - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Brooks (RB - CAR),5,$12,,,,,,,,,,Emanuel Wilson - SEA,11,$0,,,,Jaylin Noel - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarShawn Lloyd (RB - GB),11,$11,,,,,,,,,,Jonah Coleman - DEN,10,$0,,,,Adonai Mitchell - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones Sr. (RB - MIN),6,$11,,,,,,,,,,James Conner - ARI,14,$0,,,,Malik Washington - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harvey (RB - DEN),10,$11,,,,,,,,,,Isaiah Davis - NYJ,13,$0,,,,Germie Bernard - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
